"company_name","company_key","homepage_url","domain","linkedin_url","category","confidence_flag","homepage_input_validation","homepage_validation_note","careers_url_candidate","careers_url_final","redirected_to","resolver_status","source_type_guess","notes","last_checked_at","final_source_type","extractor_type","extractor_priority","ready_for_extraction","routing_notes"
"Raytheon Technologies","cm-0277","https://rtx.com/","rtx.com","https://www.linkedin.com/company/raytheon-technologies","Defense","high","ok","","https://rtx.com/careers","https://careers.rtx.com/global/en","https://careers.rtx.com/global/en","careers_found","custom_found","{""homepageUsed"":""https://rtx.com/"",""pathsTried"":[""/careers"",""/jobs"",""/careers/jobs"",""/join-us"",""/work-with-us"",""/company/careers"",""/about/careers"",""/opportunities"",""/hiring""],""probeLog"":[{""path"":""/careers"",""candidateUrl"":""https://rtx.com/careers"",""status"":200,""finalUrl"":""https://careers.rtx.com/global/en"",""ok"":true,""error"":null,""ats"":null,""relatedToHome"":true}],""homepageScan"":false,""homepageScanHit"":false,""finalUrl"":""https://careers.rtx.com/global/en"",""classification"":""custom_found""}","2026-04-11T16:31:22.963Z","html_static","html_scraper","medium","true","custom careers page; HTML scrape candidate"
"Red Cat Holdings","cm-0278","https://redcat.red/","redcat.red","https://www.linkedin.com/company/red-cat-holdings","Defense","high","ok","","https://redcat.red/careers","https://redcat.red/careers/","https://redcat.red/careers/","careers_found","custom_found","{""homepageUsed"":""https://redcat.red/"",""pathsTried"":[""/careers"",""/jobs"",""/careers/jobs"",""/join-us"",""/work-with-us"",""/company/careers"",""/about/careers"",""/opportunities"",""/hiring""],""probeLog"":[{""path"":""/careers"",""candidateUrl"":""https://redcat.red/careers"",""status"":200,""finalUrl"":""https://redcat.red/careers/"",""ok"":true,""error"":null,""ats"":null,""relatedToHome"":true}],""homepageScan"":false,""homepageScanHit"":false,""finalUrl"":""https://redcat.red/careers/"",""classification"":""custom_found""}","2026-04-11T16:31:25.159Z","html_static","html_scraper","medium","true","custom careers page; HTML scrape candidate"
"Redbird (Airware legacy ops)","cm-0279","https://redbirdflight.com/","redbirdflight.com","https://www.linkedin.com/company/redbird-flight","","medium","rejected_url_domain_fallback","full_url host is not a company homepage (www.linkedin.com); using https://redbirdflight.com/ from domain column.","https://redbirdflight.com/careers","https://simulators.redbirdflight.com/about/careers","https://simulators.redbirdflight.com/about/careers","careers_found","custom_found","{""homepageUsed"":""https://redbirdflight.com/"",""pathsTried"":[""/careers"",""/jobs"",""/careers/jobs"",""/join-us"",""/work-with-us"",""/company/careers"",""/about/careers"",""/opportunities"",""/hiring""],""probeLog"":[{""path"":""/careers"",""candidateUrl"":""https://redbirdflight.com/careers"",""status"":200,""finalUrl"":""https://simulators.redbirdflight.com/about/careers"",""ok"":true,""error"":null,""ats"":null,""relatedToHome"":true}],""homepageScan"":false,""homepageScanHit"":false,""finalUrl"":""https://simulators.redbirdflight.com/about/careers"",""classification"":""custom_found""}","2026-04-11T16:31:26.601Z","html_static","html_scraper","medium","true","custom careers page; HTML scrape candidate"
"Reliable Robotics","cm-0280","https://reliable.co/","reliable.co","https://www.linkedin.com/company/reliable-robotics","Software & Autonomy","high","ok","","https://reliable.co/careers","https://jobs.ashbyhq.com/reliable-robotics","https://jobs.ashbyhq.com/reliable-robotics","redirected_to_ats","ats_ashby","{""homepageUsed"":""https://reliable.co/"",""pathsTried"":[""/careers"",""/jobs"",""/careers/jobs"",""/join-us"",""/work-with-us"",""/company/careers"",""/about/careers"",""/opportunities"",""/hiring""],""probeLog"":[{""path"":""/careers"",""candidateUrl"":""https://reliable.co/careers"",""status"":200,""finalUrl"":""https://jobs.ashbyhq.com/reliable-robotics"",""ok"":true,""error"":null,""ats"":""ats_ashby"",""relatedToHome"":false}],""homepageScan"":false,""homepageScanHit"":false,""finalUrl"":""https://jobs.ashbyhq.com/reliable-robotics"",""classification"":""ats_ashby""}","2026-04-11T16:31:28.087Z","ats_ashby","ats_api","high","true","ATS via URL (provider=ashby)"
"Reliable Robotics Systems","cm-0281","https://reliable.co/","reliable.co","","","","rejected_url_domain_fallback","full_url host is not a company homepage (www.linkedin.com); using https://reliable.co/ from domain column.","https://reliable.co/careers","https://jobs.ashbyhq.com/reliable-robotics","https://jobs.ashbyhq.com/reliable-robotics","redirected_to_ats","ats_ashby","{""homepageUsed"":""https://reliable.co/"",""pathsTried"":[""/careers"",""/jobs"",""/careers/jobs"",""/join-us"",""/work-with-us"",""/company/careers"",""/about/careers"",""/opportunities"",""/hiring""],""probeLog"":[{""path"":""/careers"",""candidateUrl"":""https://reliable.co/careers"",""status"":200,""finalUrl"":""https://jobs.ashbyhq.com/reliable-robotics"",""ok"":true,""error"":null,""ats"":""ats_ashby"",""relatedToHome"":false}],""homepageScan"":false,""homepageScanHit"":false,""finalUrl"":""https://jobs.ashbyhq.com/reliable-robotics"",""classification"":""ats_ashby""}","2026-04-11T16:31:29.228Z","ats_ashby","ats_api","high","true","ATS via URL (provider=ashby)"
"Rheinmetall","cm-0282","https://rheinmetall.com/","rheinmetall.com","https://www.linkedin.com/company/rheinmetall","Defense","high","ok","","https://rheinmetall.com/jobs","https://www.rheinmetall.com/en/career/vacancies","https://www.rheinmetall.com/en/career/vacancies","careers_found","custom_found","{""homepageUsed"":""https://rheinmetall.com/"",""pathsTried"":[""/careers"",""/jobs"",""/careers/jobs"",""/join-us"",""/work-with-us"",""/company/careers"",""/about/careers"",""/opportunities"",""/hiring""],""probeLog"":[{""path"":""/careers"",""candidateUrl"":""https://rheinmetall.com/careers"",""status"":404,""finalUrl"":""https://www.rheinmetall.com/careers"",""ok"":false,""error"":null,""ats"":null,""relatedToHome"":true},{""path"":""/jobs"",""candidateUrl"":""https://rheinmetall.com/jobs"",""status"":200,""finalUrl"":""https://www.rheinmetall.com/en/career/vacancies"",""ok"":true,""error"":null,""ats"":null,""relatedToHome"":true}],""homepageScan"":false,""homepageScanHit"":false,""finalUrl"":""https://www.rheinmetall.com/en/career/vacancies"",""classification"":""custom_found""}","2026-04-11T16:31:30.024Z","html_static","html_scraper","medium","true","custom careers page; HTML scrape candidate"
"RigiTech","cm-0283","https://rigi.tech/","rigi.tech","https://www.linkedin.com/company/rigitech","Logistics (Delivery / BVLOS Ops)","high","ok","","https://rigi.tech/careers","https://rigi.tech/careers/","https://rigi.tech/careers/","careers_found","custom_found","{""homepageUsed"":""https://rigi.tech/"",""pathsTried"":[""/careers"",""/jobs"",""/careers/jobs"",""/join-us"",""/work-with-us"",""/company/careers"",""/about/careers"",""/opportunities"",""/hiring""],""probeLog"":[{""path"":""/careers"",""candidateUrl"":""https://rigi.tech/careers"",""status"":200,""finalUrl"":""https://rigi.tech/careers/"",""ok"":true,""error"":null,""ats"":null,""relatedToHome"":true}],""homepageScan"":false,""homepageScanHit"":false,""finalUrl"":""https://rigi.tech/careers/"",""classification"":""custom_found""}","2026-04-11T16:31:32.001Z","html_static","html_scraper","medium","true","custom careers page; HTML scrape candidate"
"RigiTech Drone Logistics","cm-0284","https://rigi.tech/","rigi.tech","","","","rejected_url_domain_fallback","full_url host is not a company homepage (www.linkedin.com); using https://rigi.tech/ from domain column.","https://rigi.tech/careers","https://rigi.tech/careers/","https://rigi.tech/careers/","careers_found","custom_found","{""homepageUsed"":""https://rigi.tech/"",""pathsTried"":[""/careers"",""/jobs"",""/careers/jobs"",""/join-us"",""/work-with-us"",""/company/careers"",""/about/careers"",""/opportunities"",""/hiring""],""probeLog"":[{""path"":""/careers"",""candidateUrl"":""https://rigi.tech/careers"",""status"":200,""finalUrl"":""https://rigi.tech/careers/"",""ok"":true,""error"":null,""ats"":null,""relatedToHome"":true}],""homepageScan"":false,""homepageScanHit"":false,""finalUrl"":""https://rigi.tech/careers/"",""classification"":""custom_found""}","2026-04-11T16:31:33.460Z","html_static","html_scraper","medium","true","custom careers page; HTML scrape candidate"
"RMUS (Rocky Mountain Unmanned Systems)","cm-0285","https://rmus.com/","rmus.com","https://www.linkedin.com/company/rmus","Training & Services","high","ok","","https://www.rmus.com/cart","https://www.rmus.com/cart","","careers_found","custom_found","{""homepageUsed"":""https://rmus.com/"",""pathsTried"":[""/careers"",""/jobs"",""/careers/jobs"",""/join-us"",""/work-with-us"",""/company/careers"",""/about/careers"",""/opportunities"",""/hiring""],""probeLog"":[{""path"":""/careers"",""candidateUrl"":""https://rmus.com/careers"",""status"":404,""finalUrl"":""https://www.rmus.com/careers"",""ok"":false,""error"":null,""ats"":null,""relatedToHome"":true},{""path"":""/jobs"",""candidateUrl"":""https://rmus.com/jobs"",""status"":404,""finalUrl"":""https://www.rmus.com/pages/rmus-employment-opportunities"",""ok"":false,""error"":null,""ats"":null,""relatedToHome"":true},{""path"":""/careers/jobs"",""candidateUrl"":""https://rmus.com/careers/jobs"",""status"":404,""finalUrl"":""https://www.rmus.com/careers/jobs"",""ok"":false,""error"":null,""ats"":null,""relatedToHome"":true},{""path"":""/join-us"",""candidateUrl"":""https://rmus.com/join-us"",""status"":404,""finalUrl"":""https://www.rmus.com/join-us"",""ok"":false,""error"":null,""ats"":null,""relatedToHome"":true},{""path"":""/work-with-us"",""candidateUrl"":""https://rmus.com/work-with-us"",""status"":404,""finalUrl"":""https://www.rmus.com/work-with-us"",""ok"":false,""error"":null,""ats"":null,""relatedToHome"":true},{""path"":""/company/careers"",""candidateUrl"":""https://rmus.com/company/careers"",""status"":404,""finalUrl"":""https://www.rmus.com/company/careers"",""ok"":false,""error"":null,""ats"":null,""relatedToHome"":true},{""path"":""/about/careers"",""candidateUrl"":""https://rmus.com/about/careers"",""status"":404,""finalUrl"":""https://www.rmus.com/about/careers"",""ok"":false,""error"":null,""ats"":null,""relatedToHome"":true},{""path"":""/opportunities"",""candidateUrl"":""https://rmus.com/opportunities"",""status"":404,""finalUrl"":""https://www.rmus.com/opportunities"",""ok"":false,""error"":null,""ats"":null,""relatedToHome"":true},{""path"":""/hiring"",""candidateUrl"":""https://rmus.com/hiring"",""status"":404,""finalUrl"":""https://www.rmus.com/hiring"",""ok"":false,""error"":null,""ats"":null,""relatedToHome"":true},{""path"":""(homepage_scan)"",""candidateUrl"":""https://www.rmus.com/cart"",""status"":200,""finalUrl"":""https://www.rmus.com/cart"",""ok"":true,""error"":null,""text"":""Cart 0"",""ats"":null}],""homepageScan"":true,""homepageScanHit"":true,""finalUrl"":""https://www.rmus.com/cart"",""classification"":""custom_found""}","2026-04-11T16:31:34.708Z","html_static","html_scraper","medium","true","custom careers page; HTML scrape candidate"
"Robin Radar Systems","cm-0286","https://robinradar.com/","robinradar.com","https://www.linkedin.com/company/robin-radar-systems","Counter-UAS / Security","high","ok","","https://www.robinradar.com/careers","https://www.robinradar.com/careers","","careers_found","custom_found","{""homepageUsed"":""https://robinradar.com/"",""pathsTried"":[""/careers"",""/jobs"",""/careers/jobs"",""/join-us"",""/work-with-us"",""/company/careers"",""/about/careers"",""/opportunities"",""/hiring""],""probeLog"":[{""path"":""/careers"",""candidateUrl"":""https://robinradar.com/careers"",""status"":0,""finalUrl"":""https://robinradar.com/careers"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/jobs"",""candidateUrl"":""https://robinradar.com/jobs"",""status"":0,""finalUrl"":""https://robinradar.com/jobs"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/careers/jobs"",""candidateUrl"":""https://robinradar.com/careers/jobs"",""status"":0,""finalUrl"":""https://robinradar.com/careers/jobs"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/join-us"",""candidateUrl"":""https://robinradar.com/join-us"",""status"":0,""finalUrl"":""https://robinradar.com/join-us"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/work-with-us"",""candidateUrl"":""https://robinradar.com/work-with-us"",""status"":0,""finalUrl"":""https://robinradar.com/work-with-us"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/company/careers"",""candidateUrl"":""https://robinradar.com/company/careers"",""status"":0,""finalUrl"":""https://robinradar.com/company/careers"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/about/careers"",""candidateUrl"":""https://robinradar.com/about/careers"",""status"":0,""finalUrl"":""https://robinradar.com/about/careers"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/opportunities"",""candidateUrl"":""https://robinradar.com/opportunities"",""status"":0,""finalUrl"":""https://robinradar.com/opportunities"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""/hiring"",""candidateUrl"":""https://robinradar.com/hiring"",""status"":0,""finalUrl"":""https://robinradar.com/hiring"",""ok"":false,""error"":""fetch failed"",""ats"":null,""relatedToHome"":true},{""path"":""(homepage_scan)"",""candidateUrl"":""https://www.robinradar.com/careers"",""status"":200,""finalUrl"":""https://www.robinradar.com/careers"",""ok"":true,""error"":null,""text"":""Careers"",""ats"":null}],""homepageScan"":true,""homepageScanHit"":true,""finalUrl"":""https://www.robinradar.com/careers"",""classification"":""custom_found""}","2026-04-11T16:31:38.974Z","html_static","html_scraper","medium","true","custom careers page; HTML scrape candidate"
