"company_key","company_name","careers_url","outcome","detail"
"recovery_html__flyability__54eafa03","Flyability","https://www.flyability.com/jobs","appended","ok"
"recovery_html__skydio__ef32fbd8","Skydio","https://www.skydio.com/careers","appended","ok"
"recovery_html__wing__9326ac34","Wing","https://wing.com/careers","appended","ok"
