"company_key","company_name","domain","ingestion_status","promotion_source","promoted_at","source_kind","ats_provider","ats_board_slug","careers_url_canonical","extractor_profile","manual_override_lock","notes_internal"
"recovery_html__flyability__54eafa03","Flyability","flyability.com","promoted","html_recovery_pipeline","2026-04-12T17:16:17.180Z","html_custom","","","https://www.flyability.com/jobs","","false","html_recovery_pipeline_staging_only | promoted_at=2026-04-12T17:16:17.180Z | original_extraction_status=jobs_found | original_blocker_category=none | original_jobs_found_count=1"
"recovery_html__skydio__ef32fbd8","Skydio","skydio.com","promoted","html_recovery_pipeline","2026-04-12T17:16:17.180Z","html_custom","","","https://www.skydio.com/careers","","false","html_recovery_pipeline_staging_only | promoted_at=2026-04-12T17:16:17.180Z | original_extraction_status=jobs_found | original_blocker_category=none | original_jobs_found_count=29"
"recovery_html__wing__9326ac34","Wing","wing.com","promoted","html_recovery_pipeline","2026-04-12T17:16:17.180Z","html_custom","","","https://wing.com/careers","","false","html_recovery_pipeline_staging_only | promoted_at=2026-04-12T17:16:17.180Z | original_extraction_status=jobs_found | original_blocker_category=none | original_jobs_found_count=1"
