"company_key","company_name","domain","ingestion_status","promotion_source","promoted_at","source_kind","ats_provider","ats_board_slug","careers_url_canonical","extractor_profile","manual_override_lock","notes_internal"
"recovery_html__skydio__ef32fbd8","Skydio","","promoted","manual_html_recovery_queue_staging","2026-04-12T17:15:03.290Z","html_custom","","","https://www.skydio.com/careers","","false","staging_row_for_recovery_html_extract_only_not_production_registry"
"recovery_html__wing__9326ac34","Wing","","promoted","manual_html_recovery_queue_staging","2026-04-12T17:15:03.290Z","html_custom","","","https://wing.com/careers","","false","staging_row_for_recovery_html_extract_only_not_production_registry"
"recovery_html__flyability__54eafa03","Flyability","","promoted","manual_html_recovery_queue_staging","2026-04-12T17:15:03.290Z","html_custom","","","https://www.flyability.com/jobs","","false","staging_row_for_recovery_html_extract_only_not_production_registry"
