"company_key","sources_status","last_checked_at","last_successful_fetch_at","last_fetch_error","consecutive_failures","jobs_last_run","jobs_relevant_last_run","jobs_inserted_last_run","jobs_updated_last_run","jobs_irrelevant_last_run","jobs_partial_last_run","jobs_old_last_run","fetch_failed_last_run","yield_last_run","times_seen_empty","times_failed","scrape_tier","scrape_every_runs","bucket_last_run"
"legacy__ashby__deeptune","auto","2026-04-10T14:59:40.586Z","2026-04-10T14:59:40.586Z","","","4","0","0","0","2","0","2","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__delian","auto","2026-04-10T14:59:41.654Z","2026-04-10T14:59:41.654Z","","","6","2","0","2","4","0","0","false","0.333","0","0","medium","1","productive"
"legacy__ashby__dexmate","auto","2026-04-10T14:59:42.919Z","2026-04-10T14:59:42.919Z","","","25","0","0","0","15","0","10","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__distributed-spectrum","auto","2026-04-10T14:59:43.737Z","2026-04-10T14:59:43.737Z","","","4","1","0","1","3","0","0","false","0.250","0","0","medium","1","productive"
"legacy__ashby__duna","auto","2026-04-10T14:59:44.427Z","2026-04-10T14:59:44.427Z","","","10","0","0","0","5","0","5","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__dust","auto","2026-04-10T14:59:45.478Z","2026-04-10T14:59:45.478Z","","","23","0","0","0","17","0","6","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__dyna-robotics","auto","2026-04-10T14:59:46.073Z","2026-04-10T14:59:46.073Z","","","15","0","0","0","10","0","5","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__echotwin","auto","2026-04-10T14:59:46.774Z","2026-04-10T14:59:46.774Z","","","11","0","0","0","0","0","11","false","0.000","0","0","low","2","old_only"
"legacy__ashby__eigen-labs","auto","2026-04-10T14:59:47.253Z","2026-04-10T14:59:47.253Z","","","5","0","0","0","4","0","1","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__elevenlabs","auto","2026-04-10T14:59:47.566Z","2026-04-10T14:59:47.566Z","","","106","0","0","0","79","0","27","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__embedding-vc","auto","2026-04-10T14:59:49.110Z","2026-04-10T14:59:49.110Z","","","36","0","0","0","25","0","11","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__enpal","auto","2026-04-10T14:59:55.104Z","2026-04-10T14:59:55.104Z","","","221","0","0","0","221","0","0","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__ether.fi","auto","2026-04-10T14:59:55.756Z","2026-04-10T14:59:55.756Z","","","16","0","0","0","5","0","11","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__exa","auto","2026-04-10T14:59:56.975Z","2026-04-10T14:59:56.975Z","","","36","0","0","0","14","0","22","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__fauna-robotics","auto","2026-04-10T14:59:57.458Z","2026-04-10T14:59:57.458Z","","","0","0","0","0","0","0","0","false","0.000","1","0","low","2","empty"
"legacy__ashby__featherlessai","auto","2026-04-10T14:59:57.672Z","2026-04-10T14:59:57.672Z","","","19","0","0","0","15","0","4","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__Fiducial","auto","2026-04-10T14:59:59.979Z","2026-04-10T14:59:59.979Z","","","10","7","1","6","0","0","3","false","0.700","0","0","high","1","productive"
"legacy__ashby__finary","auto","2026-04-10T15:00:01.392Z","2026-04-10T15:00:01.392Z","","","14","0","0","0","9","0","5","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__finmid.com","auto","2026-04-10T15:00:01.804Z","2026-04-10T15:00:01.804Z","","","3","0","0","0","2","0","1","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__flagright.com","auto","2026-04-10T15:00:03.731Z","2026-04-10T15:00:03.731Z","","","56","0","0","0","54","0","2","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__flink","auto","2026-04-10T15:00:04.147Z","2026-04-10T15:00:04.147Z","","","2","0","0","0","1","0","1","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__Flock Safety","auto","2026-04-10T15:00:12.023Z","2026-04-10T15:00:12.023Z","","","72","17","0","17","46","0","9","false","0.236","0","0","medium","1","productive"
"legacy__ashby__Flock%20Safety","auto","2026-04-10T15:00:16.042Z","2026-04-10T15:00:16.042Z","","","72","17","0","17","46","0","9","false","0.236","0","0","medium","1","productive"
"legacy__ashby__Foundational Industries","auto","2026-04-10T15:00:16.901Z","2026-04-10T15:00:16.901Z","","","8","0","0","0","8","0","0","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__foundry-robotics","auto","2026-04-10T15:00:17.408Z","2026-04-10T15:00:17.408Z","","","5","0","0","0","5","0","0","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__fyxer","auto","2026-04-10T15:00:17.602Z","2026-04-10T15:00:17.602Z","","","13","0","0","0","12","0","1","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__gecko-robotics","auto","2026-04-10T15:00:17.843Z","2026-04-10T15:00:17.843Z","","","26","0","0","0","20","0","6","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__generalist","auto","2026-04-10T15:00:19.114Z","2026-04-10T15:00:19.114Z","","","17","0","0","0","17","0","0","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__generalrobotics","auto","2026-04-10T15:00:19.966Z","2026-04-10T15:00:19.966Z","","","6","1","0","1","5","0","0","false","0.167","0","0","medium","1","productive"
"legacy__ashby__govdash","auto","2026-04-10T15:00:21.208Z","2026-04-10T15:00:21.208Z","","","11","0","0","0","9","0","2","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__GoVenti","auto","2026-04-10T15:00:22.591Z","2026-04-10T15:00:22.591Z","","","31","0","0","0","12","0","19","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__GravityClimate","auto","2026-04-10T15:00:23.371Z","2026-04-10T15:00:23.371Z","","","8","0","0","0","4","0","4","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__graymatter-robotics","auto","2026-04-10T15:00:24.570Z","2026-04-10T15:00:24.570Z","","","10","1","0","1","7","0","2","false","0.100","0","0","medium","1","productive"
"legacy__ashby__gritt","auto","2026-04-10T15:00:25.300Z","2026-04-10T15:00:25.300Z","","","5","0","0","0","0","0","5","false","0.000","0","0","low","2","old_only"
"legacy__ashby__hadrian-automation","auto","2026-04-10T15:00:25.867Z","2026-04-10T15:00:25.867Z","","","148","0","0","0","102","0","46","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__happyrobot.ai","auto","2026-04-10T15:00:29.082Z","2026-04-10T15:00:29.082Z","","","70","0","0","0","42","0","28","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__harmattan-ai","auto","2026-04-10T15:00:41.336Z","2026-04-10T15:00:41.336Z","","","97","45","0","45","44","0","8","false","0.464","0","0","high","1","productive"
"legacy__ashby__havocai","auto","2026-04-10T15:00:43.468Z","2026-04-10T15:00:43.468Z","","","26","10","10","0","15","0","1","false","0.385","0","0","medium","1","productive"
"legacy__ashby__hcompany","auto","2026-04-10T15:00:43.668Z","2026-04-10T15:00:43.668Z","","","14","0","0","0","9","0","5","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__heyjobs","auto","2026-04-10T15:00:45.230Z","2026-04-10T15:00:45.230Z","","","20","0","0","0","17","0","3","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__impulse","auto","2026-04-10T15:00:45.425Z","2026-04-10T15:00:45.425Z","","","2","0","0","0","1","0","1","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__kiefer","auto","2026-04-10T15:00:45.629Z","2026-04-10T15:00:45.629Z","","","9","0","0","0","9","0","0","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__knowlix","auto","2026-04-10T15:00:45.841Z","2026-04-10T15:00:45.841Z","","","9","0","0","0","1","0","8","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__kodifly","auto","2026-04-10T15:00:46.050Z","2026-04-10T15:00:46.050Z","","","12","0","0","0","9","0","3","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__kraken.com","auto","2026-04-10T15:00:46.550Z","2026-04-10T15:00:46.550Z","","","148","0","0","0","124","0","24","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__langdock","auto","2026-04-10T15:00:46.751Z","2026-04-10T15:00:46.751Z","","","5","0","0","0","5","0","0","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__langfuse","auto","2026-04-10T15:00:46.982Z","2026-04-10T15:00:46.982Z","","","9","0","0","0","7","0","2","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__lat","auto","2026-04-10T15:00:48.313Z","2026-04-10T15:00:48.313Z","","","8","2","0","2","0","0","6","false","0.250","0","0","medium","1","productive"
"legacy__ashby__letta","auto","2026-04-10T15:00:48.533Z","2026-04-10T15:00:48.533Z","","","5","0","0","0","0","0","5","false","0.000","0","0","low","2","old_only"
"legacy__ashby__lightdash","auto","2026-04-10T15:00:48.772Z","2026-04-10T15:00:48.772Z","","","6","0","0","0","5","0","1","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__linqapp","auto","2026-04-10T15:00:48.982Z","2026-04-10T15:00:48.982Z","","","11","0","0","0","11","0","0","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__liquid-ai","auto","2026-04-10T15:00:49.199Z","2026-04-10T15:00:49.199Z","","","17","0","0","0","9","0","8","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__mach","auto","2026-04-10T15:00:52.554Z","2026-04-10T15:00:52.554Z","","","67","15","0","15","25","0","27","false","0.224","0","0","medium","1","productive"
"legacy__ashby__maihem","auto","2026-04-10T15:00:52.755Z","2026-04-10T15:00:52.755Z","","","1","0","0","0","1","0","0","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__marcohire","auto","2026-04-10T15:00:53.591Z","2026-04-10T15:00:53.591Z","","","8","4","0","4","3","0","1","false","0.500","0","0","high","1","productive"
"legacy__ashby__matter-intelligence","auto","2026-04-10T15:00:54.490Z","2026-04-10T15:00:54.490Z","","","14","3","0","3","11","0","0","false","0.214","0","0","medium","1","productive"
"legacy__ashby__mecka.ai","auto","2026-04-10T15:00:54.701Z","2026-04-10T15:00:54.701Z","","","14","0","0","0","14","0","0","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__mindrobotics","auto","2026-04-10T15:00:54.896Z","2026-04-10T15:00:54.896Z","","","7","0","0","0","7","0","0","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__mirai-robotics","auto","2026-04-10T15:00:55.654Z","2026-04-10T15:00:55.654Z","","","4","3","0","3","0","0","1","false","0.750","0","0","high","1","productive"
"legacy__ashby__mirelo","auto","2026-04-10T15:00:55.858Z","2026-04-10T15:00:55.858Z","","","8","0","0","0","1","0","7","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__Molg","auto","2026-04-10T15:00:57.166Z","2026-04-10T15:00:57.166Z","","","11","0","0","0","11","0","0","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__monumental","auto","2026-04-10T15:00:57.413Z","2026-04-10T15:00:57.413Z","","","26","0","0","0","16","0","10","false","0.000","0","0","low","2","irrelevant_only"
